USERID;MAXV;MAXP;MAXWC;TRAIN_SIZE;TEST_SIZE;ACCURACYP;PRECISIONP;RECALLP;TRAIN_TIME;THEORY;NUMBER_WC;treshold;F1;F2;F3;F4;F5
0;5;5;3;45;45;0.8518518606821696;0.6150793631871542;0.5101214647293091;41.758;:~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1]:~ value(verdure_e_ortaggi,V1).[V1@1, V1]:~ value(forno,V1).[-V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@5, V1];4.0;0.0;0.0;0.01;833333.32083;0.0;2500000.0125
1;5;5;3;45;45;0.8666666348775228;0.5210918188095093;0.5307692289352417;57.721;:~ value(pasta,V1).[-V1@5, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@3, V1]:~ value(verdure_e_ortaggi,V1).[V1@4, V1];3.0;0.0;0.0;0.0;0.01;0.2;1999999.876
2;5;5;3;45;45;0.8814814885457357;0.7214506467183431;0.7140740553538004;75.504;:~ value(pasta,V1).[-V1@2, V1]:~ value(farinacei,V1).[-V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@5, V1]:~ value(verdure_e_ortaggi,V1), category(3).[V1@4, V1];4.0;0.0;0.0;0.01;0.06;0.18;3333333.33333
3;5;5;3;45;45;0.8666667143503824;0.6549919446309408;0.863636334737142;58.954;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(carne,V1).[V1@4, V1]:~ value(verdure_e_ortaggi,V1).[V1@2, V1]:~ category(2).[1@5];4.0;0.0;0.0;0.01;0.0;0.11;1.1
4;5;5;3;45;45;0.8222222328186035;0.6175213654836019;0.6555555661519369;93.489;:~ value(erbe_spezie_e_condimenti,V1).[-V1@3, V1]:~ value(verdure_e_ortaggi,V1).[V1@2, V1]:~ category(1).[-1@5];3.0;0.0;0.0;0.01;2499999.9675;0.0;7500000.0125
5;5;5;3;45;45;0.8814814885457357;0.5584604342778524;0.554131031036377;83.071;:~ value(erbe_spezie_e_condimenti,V1).[V1@3, V1]:~ value(verdure_e_ortaggi,V1).[-V1@2, V1]:~ value(forno,V1).[-V1@4, V1]:~ value(erbe_spezie_e_condimenti,V1), category(3).[V1@5, V1];4.0;0.0;0.0;0.01;0.04;0.8;4.0
6;5;5;3;45;45;0.8074073791503906;0.5865079561869303;0.5919701258341471;92.733;:~ value(pasta,V1).[V1@1, V1]:~ value(carne,V1).[V1@3, V1]:~ category(1).[1@5]:~ value(erbe_spezie_e_condimenti,V1), category(3).[V1@4, V1];4.0;0.0;0.0;0.0;0.01;0.1;2.0
7;5;5;3;45;45;0.8518518606821696;0.5591151714324951;0.5797101656595866;62.48;:~ value(pasta,V1).[V1@2, V1]:~ value(carne,V1).[-V1@3, V1]:~ value(verdure_e_ortaggi,V1).[-V1@1, V1]:~ value(forno,V1).[V1@4, V1]:~ category(2).[-1@5];5.0;0.0;0.0;0.01;0.06;0.54;3.24
8;5;5;3;45;45;0.7925926049550375;0.6346469720204672;0.5548821687698364;107.89;:~ value(pasta,V1).[-V1@3, V1]:~ value(verdure_e_ortaggi,V1).[-V1@4, V1]:~ value(forno,V1).[-V1@5, V1];3.0;0.0;0.0;0.0;0.01;833333.31333;2500000.0
9;5;5;3;45;45;0.7629629770914713;0.515251874923706;0.5685891310373942;102.214;:~ value(erbe_spezie_e_condimenti,V1).[V1@1, V1]:~ value(verdure_e_ortaggi,V1).[-V1@4, V1]:~ category(1).[-1@5]:~ value(forno,V1).[V1@3, V1];4.0;0.0;0.0;0.0;0.01;3333333.32667;10000000.04
10;5;5;3;45;45;0.8666667143503824;0.5473684469858805;0.5696969827016195;70.2;:~ value(verdure_e_ortaggi,V1).[V1@4, V1]:~ value(forno,V1).[V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1), category(3).[-V1@5, V1];3.0;0.0;0.0;0.0;0.01;0.06;3333333.27333
11;5;5;3;45;45;0.8666666348775228;0.6479365030924479;0.7006173133850098;53.168;:~ value(pasta,V1).[V1@2, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@3, V1]:~ value(verdure_e_ortaggi,V1).[-V1@1, V1]:~ category(3).[-1@4]:~ value(erbe_spezie_e_condimenti,V1), category(3).[V1@5, V1];5.0;0.0;0.0;0.01;0.06;1.2;3.6
12;5;5;3;45;45;0.7925926049550375;0.6638655662536621;0.6660561561584473;75.546;:~ value(forno,V1).[-V1@4, V1]:~ category(4).[-1@5]:~ value(verdure_e_ortaggi,V1), category(3).[-V1@3, V1];3.0;0.0;0.0;0.0;0.01;0.04;0.2
13;5;5;3;45;45;0.8074073791503906;0.5211640199025472;0.4884259303410848;112.131;:~ value(pasta,V1).[V1@3, V1]:~ value(verdure_e_ortaggi,V1).[-V1@1, V1]:~ category(4).[1@2]:~ category(1).[-1@4]:~ value(carne,V1), category(3).[-V1@5, V1];5.0;0.0;0.0;0.01;0.02;0.12;0.36
14;5;5;3;45;45;0.9111111164093018;0.6071428457895914;0.6145833333333334;36.182;:~ value(pasta,V1).[V1@5, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(verdure_e_ortaggi,V1).[V1@4, V1];3.0;0.0;0.0;0.0;0.0;0.01;0.11
15;5;5;3;45;45;0.8962963422139486;0.7407407760620117;0.7523809274037679;50.99;:~ value(carne,V1).[V1@2, V1]:~ value(verdure_e_ortaggi,V1).[V1@1, V1]:~ value(forno,V1).[-V1@3, V1]:~ category(4).[-1@5]:~ category(2).[-1@4];5.0;0.0;0.0;0.01;0.1;0.5;1.5
16;5;5;3;45;45;0.8666666348775228;0.5657894611358643;0.5942029158274332;66.87;:~ value(pasta,V1).[-V1@2, V1]:~ value(verdure_e_ortaggi,V1).[-V1@3, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(carne,V1).[-V1@4, V1]:~ category(2).[-1@5];5.0;0.0;0.0;0.01;0.06;0.24;2.16
17;5;5;3;45;45;0.7925926049550375;0.6127591927846273;0.5999999841054281;77.469;:~ value(pasta,V1).[-V1@2, V1]:~ value(forno,V1).[-V1@3, V1]:~ category(1).[1@5]:~ category(3).[1@4]:~ value(verdure_e_ortaggi,V1), category(3).[V1@1, V1];5.0;0.0;0.0;0.01;0.06;0.3;0.6
18;5;5;3;45;45;0.8074073791503906;0.48140350977579754;0.6086956659952799;85.265;:~ value(pasta,V1).[V1@4, V1]:~ value(verdure_e_ortaggi,V1).[-V1@3, V1]:~ value(carne,V1).[V1@5, V1]:~ category(3).[1@2];4.0;0.0;0.0;0.01;0.02;0.08;0.48
19;5;5;3;45;45;0.8518518606821696;0.5437665780385336;0.5158730347951254;60.677;:~ value(pasta,V1).[V1@5, V1]:~ value(erbe_spezie_e_condimenti,V1).[-V1@1, V1]:~ value(verdure_e_ortaggi,V1).[-V1@4, V1];3.0;0.0;0.0;0.0;0.0;0.01;0.04
20;5;5;3;45;45;0.8962963422139486;0.6891534328460693;0.7274074554443359;66.206;:~ value(erbe_spezie_e_condimenti,V1).[V1@3, V1]:~ value(carne,V1).[-V1@2, V1]:~ value(forno,V1).[-V1@4, V1]:~ category(1).[1@5];4.0;0.0;0.0;13469.84223;107758.74786;2155174.95724;10775874.78622
21;5;5;3;45;45;0.7481482028961182;0.4722222487131755;0.4363081455230713;100.628;:~ value(pasta,V1).[V1@5, V1]:~ value(erbe_spezie_e_condimenti,V1).[V1@4, V1]:~ value(verdure_e_ortaggi,V1).[-V1@1, V1];3.0;0.0;0.0;0.0;0.0;0.01;0.2
22;5;5;3;45;45;0.8814814885457357;0.5762962897618612;0.546666661898295;61.915;:~ value(pasta,V1).[V1@4, V1]:~ value(carne,V1).[-V1@3, V1]:~ value(verdure_e_ortaggi,V1).[-V1@2, V1]:~ value(forno,V1).[V1@1, V1]:~ value(farinacei,V1).[-V1@5, V1];5.0;0.0;0.0;0.01;0.04;0.36;2.16
